股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
1402,2019-05-10,2019-05-13,31.95,31.7,-0.78,3,失敗
1515,2019-05-10,2019-05-13,76.6,72.8,-4.96,3,失敗
2034,2019-05-10,2019-05-13,26.15,26.15,0.0,3,失敗
2832,2019-05-10,2019-05-13,20.15,20.15,0.0,3,失敗
5519,2019-05-10,2019-05-17,15.7,16.1,2.55,7,勝利
6409,2019-05-10,2019-05-13,607.0,612.0,0.82,3,勝利
9802,2019-05-10,2019-05-13,64.0,63.6,-0.62,3,失敗
2020,2019-05-13,2019-05-20,16.05,16.5,2.8,7,勝利
2420,2019-05-13,2019-05-14,36.1,36.0,-0.28,1,失敗
3051,2019-05-13,2019-05-14,3.63,3.43,-5.51,1,失敗
3058,2019-05-13,2019-05-14,8.23,8.15,-0.97,1,失敗
3703,2019-05-13,2019-05-20,15.7,16.15,2.87,7,勝利
6192,2019-05-13,2019-05-14,70.9,70.8,-0.14,1,失敗
9908,2019-05-13,2019-05-14,29.05,29.15,0.34,1,勝利
1457,2019-05-14,2019-05-21,14.3,14.65,2.45,7,勝利
1503,2019-05-14,2019-05-21,42.5,45.9,8.0,7,勝利
3296,2019-05-14,2019-05-15,17.9,17.9,0.0,1,失敗
5522,2019-05-14,2019-05-15,37.05,37.25,0.54,1,勝利
1310,2019-05-15,2019-05-16,24.75,24.75,0.0,1,失敗
1464,2019-05-15,2019-05-22,23.2,24.6,6.03,7,勝利
1720,2019-05-15,2019-05-16,32.9,32.95,0.15,1,勝利
2420,2019-05-15,2019-05-22,36.5,36.85,0.96,7,勝利
2467,2019-05-15,2019-05-16,33.5,32.35,-3.43,1,失敗
2468,2019-05-15,2019-05-17,12.25,12.05,-1.63,2,失敗
2476,2019-05-15,2019-05-22,23.75,24.0,1.05,7,勝利
2535,2019-05-15,2019-05-17,21.05,21.0,-0.24,2,失敗
2546,2019-05-15,2019-05-22,32.65,32.85,0.61,7,勝利
2707,2019-05-15,2019-05-16,157.5,156.5,-0.63,1,失敗
2890,2019-05-15,2019-05-16,11.75,11.8,0.43,1,勝利
2892,2019-05-15,2019-05-16,21.5,21.5,0.0,1,失敗
3705,2019-05-15,2019-05-17,42.3,41.9,-0.95,2,失敗
4104,2019-05-15,2019-05-22,49.5,50.3,1.62,7,勝利
6192,2019-05-15,2019-05-22,73.0,75.0,2.74,7,勝利
6281,2019-05-15,2019-05-16,65.5,65.5,0.0,1,失敗
8926,2019-05-15,2019-05-16,26.45,26.45,0.0,1,失敗
9938,2019-05-15,2019-05-22,75.0,78.6,4.8,7,勝利
1102,2019-05-16,2019-05-23,42.65,43.9,2.93,7,勝利
1321,2019-05-16,2019-05-23,27.75,27.6,-0.54,7,失敗
1339,2019-05-16,2019-05-23,35.75,35.35,-1.12,7,失敗
1504,2019-05-16,2019-05-17,22.1,21.9,-0.9,1,失敗
1626,2019-05-16,2019-05-23,23.85,24.6,3.14,7,勝利
1762,2019-05-16,2019-05-17,24.7,24.7,0.0,1,失敗
2611,2019-05-16,2019-05-21,7.64,7.66,0.26,5,勝利
2838,2019-05-16,2019-05-23,10.9,11.7,7.34,7,勝利
